"Applicant","Edu_Parent1","Edu_Parent2","Sex","White","Asian","HSGPA","SAT_ACT","College","Admitted","Enrolled","College_GPA","Admit_Tree_Pred","Admit_Tree_Prob","Enrolled_Factor","Enroll_Tree_Pred","Enroll_Tree_Prob"
1,4,4,"M","0","1",4.08,1460,"Business & Economics","1","0",NA,1,0.896933560477002,"0","0",0.123106060606061
3,7,7,"M","1","0",4.25,1340,"Arts & Letters","1","0",NA,1,0.73936170212766,"0","0",0.173497267759563
7,6,6,"F","1","0",4.26,1430,"Math & Science","1","1",3.956,1,0.896933560477002,"1","0",0.123106060606061
8,7,6,"F","1","0",4.32,1240,"Math & Science","1","0",NA,1,0.590909090909091,"0","0",0.00160901045856798
10,6,6,"M","0","1",3.75,1510,"Arts & Letters","1","0",NA,1,0.764705882352941,"0","0",0.173497267759563
14,6,6,"M","0","0",3.88,1340,"Business & Economics","1","0",NA,0,0.378048780487805,"0","0",0.00160901045856798
16,7,7,"M","1","0",3.62,1460,"Business & Economics","1","0",NA,1,0.880952380952381,"0","0",0.123106060606061
18,7,7,"M","1","0",4.12,1460,"Math & Science","1","0",NA,1,0.896933560477002,"0","0",0.123106060606061
21,7,6,"M","1","0",4.25,1560,"Business & Economics","1","0",NA,1,0.896933560477002,"0","0",0.123106060606061
23,3,3,"M","0","0",3.67,1430,"Math & Science","1","0",NA,0,0.384615384615385,"0","0",0.00160901045856798
24,6,6,"M","1","0",3.52,1450,"Math & Science","1","0",NA,1,1,"0","0",0.123106060606061
27,6,7,"F","0","1",4.05,1360,"Arts & Letters","1","0",NA,1,0.896933560477002,"0","0",0.123106060606061
29,7,6,"M","1","0",3.95,1340,"Math & Science","1","1",3.361,1,0.73936170212766,"1","0",0.173497267759563
30,7,6,"F","0","1",3.96,1340,"Math & Science","1","0",NA,1,0.73936170212766,"0","0",0.173497267759563
33,6,6,"F","1","0",3.43,1220,"Business & Economics","1","0",NA,0,0.05676072418855,"0","0",0.00160901045856798
38,6,6,"F","0","0",4.32,1300,"Arts & Letters","1","0",NA,1,0.73936170212766,"0","0",0.173497267759563
40,6,5,"M","0","0",3.55,1400,"Math & Science","1","0",NA,0,0.227272727272727,"0","0",0.00160901045856798
41,6,4,"F","1","0",4.27,1150,"Arts & Letters","1","0",NA,0,0.308370044052863,"0","0",0.00160901045856798
42,6,6,"F","1","0",4.33,1440,"Math & Science","1","0",NA,1,0.896933560477002,"0","0",0.123106060606061
43,7,7,"M","1","0",4,1250,"Arts & Letters","1","0",NA,0,0.245187436676798,"0","0",0.00160901045856798
46,6,6,"F","1","0",3.75,1250,"Math & Science","1","0",NA,0,0.05676072418855,"0","0",0.00160901045856798
48,7,6,"M","1","0",4.14,1360,"Business & Economics","1","0",NA,1,0.896933560477002,"0","0",0.123106060606061
51,7,6,"F","1","0",4.14,1270,"Business & Economics","1","0",NA,1,0.73936170212766,"0","0",0.173497267759563
52,6,6,"F","0","1",4.17,1380,"Math & Science","1","0",NA,1,0.896933560477002,"0","0",0.123106060606061
54,6,4,"F","0","0",3.69,1190,"Arts & Letters","1","0",NA,0,0.05676072418855,"0","0",0.00160901045856798
55,7,7,"F","0","0",4.29,1400,"Math & Science","1","0",NA,1,0.896933560477002,"0","0",0.123106060606061
56,6,6,"M","1","0",4.15,1510,"Business & Economics","1","0",NA,1,0.896933560477002,"0","0",0.123106060606061
59,7,7,"M","0","1",4.09,1450,"Math & Science","1","0",NA,1,0.896933560477002,"0","0",0.123106060606061
60,6,7,"M","0","0",4.29,1550,"Math & Science","1","0",NA,1,0.896933560477002,"0","0",0.123106060606061
66,6,7,"F","0","0",4.04,1270,"Math & Science","1","1",3.025,1,0.73936170212766,"1","0",0.173497267759563
69,7,7,"F","1","0",4.33,1440,"Math & Science","1","0",NA,1,0.896933560477002,"0","0",0.123106060606061
70,6,6,"F","1","0",4.08,1200,"Business & Economics","1","0",NA,1,0.717948717948718,"0","0",0.00160901045856798
71,7,7,"F","1","0",3.56,1280,"Arts & Letters","1","1",2.564,1,0.855172413793103,"1","1",1
72,6,6,"M","1","0",4.33,1410,"Math & Science","1","0",NA,1,0.896933560477002,"0","0",0.123106060606061
73,7,6,"M","1","0",4.15,1390,"Math & Science","1","1",3.825,1,0.896933560477002,"1","0",0.123106060606061
75,7,7,"F","1","0",3.86,1350,"Arts & Letters","1","0",NA,1,0.896933560477002,"0","0",0.123106060606061
76,6,7,"M","0","0",3.67,1170,"Business & Economics","1","0",NA,0,0.05676072418855,"0","0",0.00160901045856798
78,4,4,"M","0","0",4,1330,"Business & Economics","1","1",3.525,1,0.73936170212766,"1","0",0.173497267759563
80,7,6,"F","1","0",4.09,1150,"Math & Science","1","1",3.595,1,0.854901960784314,"1","1",1
82,6,6,"F","1","0",3.83,1250,"Arts & Letters","1","0",NA,0,0.245187436676798,"0","0",0.00160901045856798
83,6,6,"F","1","0",4.05,1300,"Arts & Letters","1","0",NA,1,0.73936170212766,"0","0",0.173497267759563
86,7,7,"F","0","0",3.36,1130,"Arts & Letters","1","1",3.058,1,0.855172413793103,"1","1",1
88,7,6,"M","1","0",3.77,1310,"Business & Economics","1","0",NA,1,0.631578947368421,"0","0",0.00160901045856798
90,7,7,"M","1","0",4,1190,"Business & Economics","1","0",NA,0,0.245187436676798,"0","0",0.00160901045856798
91,6,6,"M","0","0",4.14,1310,"Math & Science","1","0",NA,1,0.73936170212766,"0","0",0.173497267759563
93,1,1,"M","0","0",3.58,1300,"Math & Science","1","0",NA,1,0.916666666666667,"0","0",0
95,7,6,"M","0","0",3.75,1240,"Business & Economics","1","1",3.344,1,0.855172413793103,"1","1",1
