"Applicant","Edu_Parent1","Edu_Parent2","Sex","White","Asian","HSGPA","SAT_ACT","College","Admitted","Enrolled","College_GPA"
1,4,4,"M",0,1,4.08,1460,"Business & Economics",1,0,NA
2,3,3,"F",0,0,3.59,1180,"Math & Science",0,0,NA
3,7,7,"M",1,0,4.25,1340,"Arts & Letters",1,0,NA
4,6,6,"M",0,1,3,1190,"Business & Economics",0,0,NA
5,6,7,"F",1,0,3.9,1290,"Business & Economics",0,0,NA
6,1,2,"F",0,0,3.36,1090,"Arts & Letters",0,0,NA
7,6,6,"F",1,0,4.26,1430,"Math & Science",1,1,3.956
8,7,6,"F",1,0,4.32,1240,"Math & Science",1,0,NA
9,7,6,"F",1,0,3.41,1230,"Arts & Letters",0,0,NA
10,6,6,"M",0,1,3.75,1510,"Arts & Letters",1,0,NA
11,7,7,"M",1,0,2.62,1330,"Arts & Letters",0,0,NA
12,7,7,"M",1,0,2.46,1170,"Arts & Letters",0,0,NA
13,4,6,"F",1,0,3.83,1210,"Business & Economics",0,0,NA
14,6,6,"M",0,0,3.88,1340,"Business & Economics",1,0,NA
15,7,6,"M",1,0,3.21,1190,"Math & Science",0,0,NA
16,7,7,"M",1,0,3.62,1460,"Business & Economics",1,0,NA
17,7,7,"M",0,0,3.72,1270,"Arts & Letters",0,0,NA
18,7,7,"M",1,0,4.12,1460,"Math & Science",1,0,NA
19,6,6,"F",0,0,3.11,930,"Arts & Letters",0,0,NA
20,1,1,"M",0,0,3.11,880,"Math & Science",0,0,NA
21,7,6,"M",1,0,4.25,1560,"Business & Economics",1,0,NA
22,7,7,"M",1,0,3.23,1510,"Math & Science",0,0,NA
23,3,3,"M",0,0,3.67,1430,"Math & Science",1,0,NA
24,6,6,"M",1,0,3.52,1450,"Math & Science",1,0,NA
25,4,7,"M",0,0,3.6,1040,"Arts & Letters",0,0,NA
26,5,5,"F",1,0,3.88,1220,"Arts & Letters",0,0,NA
27,6,7,"F",0,1,4.05,1360,"Arts & Letters",1,0,NA
28,6,7,"M",1,0,4.06,1220,"Business & Economics",0,0,NA
29,7,6,"M",1,0,3.95,1340,"Math & Science",1,1,3.361
30,7,6,"F",0,1,3.96,1340,"Math & Science",1,0,NA
31,4,7,"M",1,0,3.2,1480,"Arts & Letters",0,0,NA
32,3,6,"F",1,0,3.37,930,"Arts & Letters",0,0,NA
33,6,6,"F",1,0,3.43,1220,"Business & Economics",1,0,NA
34,6,6,"M",1,0,3.43,1000,"Math & Science",0,0,NA
35,7,6,"F",0,1,4,1210,"Business & Economics",0,0,NA
36,3,7,"M",1,0,3.76,1110,"Business & Economics",0,0,NA
37,2,1,"F",0,1,4.09,1210,"Arts & Letters",0,0,NA
38,6,6,"F",0,0,4.32,1300,"Arts & Letters",1,0,NA
39,4,6,"M",1,0,3,1220,"Math & Science",0,0,NA
40,6,5,"M",0,0,3.55,1400,"Math & Science",1,0,NA
41,6,4,"F",1,0,4.27,1150,"Arts & Letters",1,0,NA
42,6,6,"F",1,0,4.33,1440,"Math & Science",1,0,NA
43,7,7,"M",1,0,4,1250,"Arts & Letters",1,0,NA
44,4,3,"F",1,0,3.15,1190,"Math & Science",0,0,NA
45,7,7,"M",1,0,3.29,1250,"Arts & Letters",0,0,NA
46,6,6,"F",1,0,3.75,1250,"Math & Science",1,0,NA
47,3,6,"M",1,0,4.33,1200,"Business & Economics",0,1,3.433
48,7,6,"M",1,0,4.14,1360,"Business & Economics",1,0,NA
49,6,6,"M",1,0,3.54,1350,"Math & Science",0,0,NA
50,7,7,"F",1,0,2.61,980,"Business & Economics",0,0,NA
51,7,6,"F",1,0,4.14,1270,"Business & Economics",1,0,NA
52,6,6,"F",0,1,4.17,1380,"Math & Science",1,0,NA
53,6,6,"F",0,0,3.8,1210,"Math & Science",0,0,NA
54,6,4,"F",0,0,3.69,1190,"Arts & Letters",1,0,NA
55,7,7,"F",0,0,4.29,1400,"Math & Science",1,0,NA
56,6,6,"M",1,0,4.15,1510,"Business & Economics",1,0,NA
57,4,4,"M",0,0,4.18,1350,"Arts & Letters",0,0,NA
58,7,6,"M",1,0,3.42,1310,"Math & Science",0,0,NA
59,7,7,"M",0,1,4.09,1450,"Math & Science",1,0,NA
60,6,7,"M",0,0,4.29,1550,"Math & Science",1,0,NA
61,6,6,"M",1,0,3.78,1200,"Math & Science",0,0,NA
62,7,7,"F",1,0,4.27,1530,"Business & Economics",0,1,3.89
63,7,6,"F",1,0,4,1340,"Math & Science",0,0,NA
64,4,6,"F",0,0,3.6,1110,"Business & Economics",0,0,NA
65,7,7,"F",0,0,4,1260,"Math & Science",0,0,NA
66,6,7,"F",0,0,4.04,1270,"Math & Science",1,1,3.025
67,1,2,"M",0,0,3.75,1010,"Business & Economics",0,0,NA
68,7,4,"F",1,0,3.59,1170,"Arts & Letters",0,0,NA
69,7,7,"F",1,0,4.33,1440,"Math & Science",1,0,NA
70,6,6,"F",1,0,4.08,1200,"Business & Economics",1,0,NA
71,7,7,"F",1,0,3.56,1280,"Arts & Letters",1,1,2.564
72,6,6,"M",1,0,4.33,1410,"Math & Science",1,0,NA
73,7,6,"M",1,0,4.15,1390,"Math & Science",1,1,3.825
74,6,6,"M",1,0,3.65,1280,"Math & Science",0,0,NA
75,7,7,"F",1,0,3.86,1350,"Arts & Letters",1,0,NA
76,6,7,"M",0,0,3.67,1170,"Business & Economics",1,0,NA
77,7,7,"M",0,1,3.15,1370,"Arts & Letters",0,0,NA
78,4,4,"M",0,0,4,1330,"Business & Economics",1,1,3.525
79,6,6,"M",1,0,3.2,1400,"Arts & Letters",0,0,NA
80,7,6,"F",1,0,4.09,1150,"Math & Science",1,1,3.595
81,6,6,"M",1,0,4.18,1480,"Business & Economics",0,0,NA
82,6,6,"F",1,0,3.83,1250,"Arts & Letters",1,0,NA
83,6,6,"F",1,0,4.05,1300,"Arts & Letters",1,0,NA
84,7,6,"F",1,0,3.67,1170,"Arts & Letters",0,0,NA
85,7,6,"M",0,0,3.24,1000,"Math & Science",0,0,NA
86,7,7,"F",0,0,3.36,1130,"Arts & Letters",1,1,3.058
87,7,6,"M",0,0,0,1540,"Math & Science",0,0,NA
88,7,6,"M",1,0,3.77,1310,"Business & Economics",1,0,NA
89,4,6,"F",1,0,4.07,1270,"Math & Science",0,0,NA
90,7,7,"M",1,0,4,1190,"Business & Economics",1,0,NA
91,6,6,"M",0,0,4.14,1310,"Math & Science",1,0,NA
92,7,7,"M",0,1,3.38,1330,"Math & Science",0,0,NA
93,1,1,"M",0,0,3.58,1300,"Math & Science",1,0,NA
94,7,7,"M",1,0,3.5,1230,"Math & Science",0,0,NA
95,7,6,"M",0,0,3.75,1240,"Business & Economics",1,1,3.344
96,6,5,"M",1,0,2.95,1260,"Business & Economics",0,0,NA
97,7,6,"F",1,0,3.95,1250,"Business & Economics",1,0,NA
98,6,6,"F",1,0,3.71,1190,"Math & Science",0,0,NA
99,5,7,"M",1,0,3.82,1240,"Math & Science",0,0,NA
100,6,6,"F",0,0,4.23,1340,"Math & Science",1,0,NA
101,6,6,"F",1,0,4.33,1450,"Arts & Letters",1,0,NA
102,7,7,"M",0,0,3.62,1240,"Math & Science",0,0,NA
103,6,7,"F",1,0,3.82,1270,"Math & Science",1,1,3.106
104,6,7,"F",1,0,4.04,1270,"Arts & Letters",1,0,NA
105,6,6,"M",0,1,2.6,1410,"Arts & Letters",0,0,NA
106,6,6,"M",0,1,3.75,1340,"Math & Science",1,0,NA
107,4,5,"F",0,1,3.86,1230,"Arts & Letters",0,0,NA
108,6,6,"F",1,0,3.38,970,"Arts & Letters",0,0,NA
109,3,3,"F",0,0,3.6,1040,"Arts & Letters",0,0,NA
110,6,6,"M",1,0,4.25,1270,"Business & Economics",1,0,NA
111,5,5,"M",1,0,2.89,1490,"Arts & Letters",0,0,NA
112,6,6,"M",1,0,4.32,1500,"Math & Science",1,1,3.426
113,7,7,"M",1,0,4,1130,"Arts & Letters",0,0,NA
114,6,6,"M",0,1,4.33,1380,"Math & Science",1,0,NA
115,7,7,"F",0,0,4.2,1230,"Arts & Letters",0,1,3.116
116,7,7,"M",1,0,3.46,1230,"Arts & Letters",0,0,NA
117,7,6,"F",1,0,3.92,1320,"Math & Science",1,1,3.396
118,7,7,"M",0,0,2.95,1430,"Math & Science",0,0,NA
119,6,6,"F",1,0,3.83,1240,"Arts & Letters",1,1,3.926
120,5,4,"M",0,0,0,880,"Business & Economics",0,0,NA
121,7,7,"M",1,0,4,1410,"Business & Economics",1,0,NA
122,1,2,"F",0,0,3.29,880,"Arts & Letters",0,0,NA
123,6,6,"F",1,0,3.95,1140,"Math & Science",0,0,NA
124,6,5,"M",0,1,2.78,1200,"Math & Science",0,0,NA
125,7,7,"M",1,0,3.95,1300,"Arts & Letters",0,1,3.277
126,6,1,"F",0,0,3.05,920,"Arts & Letters",0,0,NA
127,6,6,"M",0,1,3.68,1430,"Math & Science",0,0,NA
128,6,5,"F",0,0,4.17,1460,"Math & Science",1,0,NA
129,7,6,"M",1,0,3.14,1150,"Business & Economics",0,0,NA
130,1,1,"F",0,0,3.86,850,"Arts & Letters",0,0,NA
131,7,4,"F",0,0,3.89,1250,"Math & Science",1,1,3.357
132,6,6,"M",1,0,3.6,1130,"Math & Science",0,0,NA
133,7,6,"M",1,0,3.45,1410,"Math & Science",0,0,NA
134,6,5,"M",1,0,3.26,1100,"Business & Economics",0,0,NA
135,6,6,"M",1,0,3.5,1270,"Math & Science",0,0,NA
136,6,7,"F",0,0,3.87,1170,"Arts & Letters",1,1,2.733
137,1,1,"M",0,0,4.2,980,"Business & Economics",1,0,NA
138,5,5,"M",1,0,4.17,1250,"Math & Science",0,0,NA
139,7,7,"F",1,0,3.7,1220,"Arts & Letters",0,0,NA
140,6,6,"M",0,0,2.73,1060,"Business & Economics",0,0,NA
141,7,6,"M",1,0,3.82,1440,"Math & Science",1,1,1.847
142,7,7,"M",1,0,3.25,1160,"Arts & Letters",0,0,NA
143,7,4,"F",0,0,3.88,1180,"Business & Economics",0,0,NA
144,7,7,"M",1,0,3.92,1200,"Arts & Letters",1,0,NA
145,6,6,"M",1,0,3.03,1190,"Arts & Letters",0,0,NA
146,4,4,"F",0,0,2.79,940,"Arts & Letters",0,0,NA
147,2,3,"M",0,0,3.73,1190,"Math & Science",1,0,NA
