"Applicant","Edu_Parent1","Edu_Parent2","Sex","White","Asian","HSGPA","SAT_ACT","College","Admitted","Enrolled","College_GPA","Admit_Tree_Pred","Admit_Tree_Prob"
1,4,4,"M",0,1,4.08,1460,"Business & Economics","1",0,NA,"1",0.896933560477002
2,3,3,"F",0,0,3.59,1180,"Math & Science","0",0,NA,"0",0.05676072418855
3,7,7,"M",1,0,4.25,1340,"Arts & Letters","1",0,NA,"1",0.73936170212766
4,6,6,"M",0,1,3,1190,"Business & Economics","0",0,NA,"0",0.05676072418855
5,6,7,"F",1,0,3.9,1290,"Business & Economics","0",0,NA,"1",0.73936170212766
6,1,2,"F",0,0,3.36,1090,"Arts & Letters","0",0,NA,"0",0.05676072418855
7,6,6,"F",1,0,4.26,1430,"Math & Science","1",1,3.956,"1",0.896933560477002
8,7,6,"F",1,0,4.32,1240,"Math & Science","1",0,NA,"1",0.590909090909091
9,7,6,"F",1,0,3.41,1230,"Arts & Letters","0",0,NA,"0",0.05676072418855
10,6,6,"M",0,1,3.75,1510,"Arts & Letters","1",0,NA,"1",0.764705882352941
11,7,7,"M",1,0,2.62,1330,"Arts & Letters","0",0,NA,"0",0.156017830609212
12,7,7,"M",1,0,2.46,1170,"Arts & Letters","0",0,NA,"0",0.05676072418855
13,4,6,"F",1,0,3.83,1210,"Business & Economics","0",0,NA,"0",0.245187436676798
14,6,6,"M",0,0,3.88,1340,"Business & Economics","1",0,NA,"0",0.378048780487805
15,7,6,"M",1,0,3.21,1190,"Math & Science","0",0,NA,"0",0.05676072418855
16,7,7,"M",1,0,3.62,1460,"Business & Economics","1",0,NA,"1",0.880952380952381
17,7,7,"M",0,0,3.72,1270,"Arts & Letters","0",0,NA,"0",0.336
18,7,7,"M",1,0,4.12,1460,"Math & Science","1",0,NA,"1",0.896933560477002
19,6,6,"F",0,0,3.11,930,"Arts & Letters","0",0,NA,"0",0.05676072418855
20,1,1,"M",0,0,3.11,880,"Math & Science","0",0,NA,"0",0.05676072418855
21,7,6,"M",1,0,4.25,1560,"Business & Economics","1",0,NA,"1",0.896933560477002
22,7,7,"M",1,0,3.23,1510,"Math & Science","0",0,NA,"0",0.156017830609212
23,3,3,"M",0,0,3.67,1430,"Math & Science","1",0,NA,"0",0.384615384615385
24,6,6,"M",1,0,3.52,1450,"Math & Science","1",0,NA,"1",1
25,4,7,"M",0,0,3.6,1040,"Arts & Letters","0",0,NA,"0",0.05676072418855
26,5,5,"F",1,0,3.88,1220,"Arts & Letters","0",0,NA,"0",0.245187436676798
27,6,7,"F",0,1,4.05,1360,"Arts & Letters","1",0,NA,"1",0.896933560477002
28,6,7,"M",1,0,4.06,1220,"Business & Economics","0",0,NA,"1",0.717948717948718
29,7,6,"M",1,0,3.95,1340,"Math & Science","1",1,3.361,"1",0.73936170212766
30,7,6,"F",0,1,3.96,1340,"Math & Science","1",0,NA,"1",0.73936170212766
31,4,7,"M",1,0,3.2,1480,"Arts & Letters","0",0,NA,"0",0.156017830609212
32,3,6,"F",1,0,3.37,930,"Arts & Letters","0",0,NA,"0",0.05676072418855
33,6,6,"F",1,0,3.43,1220,"Business & Economics","1",0,NA,"0",0.05676072418855
34,6,6,"M",1,0,3.43,1000,"Math & Science","0",0,NA,"0",0.05676072418855
35,7,6,"F",0,1,4,1210,"Business & Economics","0",0,NA,"0",0.245187436676798
36,3,7,"M",1,0,3.76,1110,"Business & Economics","0",0,NA,"0",0.05676072418855
37,2,1,"F",0,1,4.09,1210,"Arts & Letters","0",0,NA,"1",0.793939393939394
38,6,6,"F",0,0,4.32,1300,"Arts & Letters","1",0,NA,"1",0.73936170212766
39,4,6,"M",1,0,3,1220,"Math & Science","0",0,NA,"0",0.05676072418855
40,6,5,"M",0,0,3.55,1400,"Math & Science","1",0,NA,"0",0.227272727272727
41,6,4,"F",1,0,4.27,1150,"Arts & Letters","1",0,NA,"0",0.308370044052863
42,6,6,"F",1,0,4.33,1440,"Math & Science","1",0,NA,"1",0.896933560477002
43,7,7,"M",1,0,4,1250,"Arts & Letters","1",0,NA,"0",0.245187436676798
44,4,3,"F",1,0,3.15,1190,"Math & Science","0",0,NA,"0",0.05676072418855
45,7,7,"M",1,0,3.29,1250,"Arts & Letters","0",0,NA,"0",0.05676072418855
46,6,6,"F",1,0,3.75,1250,"Math & Science","1",0,NA,"0",0.05676072418855
47,3,6,"M",1,0,4.33,1200,"Business & Economics","0",1,3.433,"1",0.854901960784314
48,7,6,"M",1,0,4.14,1360,"Business & Economics","1",0,NA,"1",0.896933560477002
49,6,6,"M",1,0,3.54,1350,"Math & Science","0",0,NA,"0",0.26978417266187
50,7,7,"F",1,0,2.61,980,"Business & Economics","0",0,NA,"0",0.05676072418855
51,7,6,"F",1,0,4.14,1270,"Business & Economics","1",0,NA,"1",0.73936170212766
52,6,6,"F",0,1,4.17,1380,"Math & Science","1",0,NA,"1",0.896933560477002
53,6,6,"F",0,0,3.8,1210,"Math & Science","0",0,NA,"0",0.245187436676798
54,6,4,"F",0,0,3.69,1190,"Arts & Letters","1",0,NA,"0",0.05676072418855
55,7,7,"F",0,0,4.29,1400,"Math & Science","1",0,NA,"1",0.896933560477002
56,6,6,"M",1,0,4.15,1510,"Business & Economics","1",0,NA,"1",0.896933560477002
57,4,4,"M",0,0,4.18,1350,"Arts & Letters","0",0,NA,"1",0.896933560477002
58,7,6,"M",1,0,3.42,1310,"Math & Science","0",0,NA,"0",0.156017830609212
59,7,7,"M",0,1,4.09,1450,"Math & Science","1",0,NA,"1",0.896933560477002
60,6,7,"M",0,0,4.29,1550,"Math & Science","1",0,NA,"1",0.896933560477002
61,6,6,"M",1,0,3.78,1200,"Math & Science","0",0,NA,"0",0.05676072418855
62,7,7,"F",1,0,4.27,1530,"Business & Economics","0",1,3.89,"1",0.896933560477002
